cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10
2006-01-03,1268.800000,0.367300,0.571300,0.281900,0.243800,0.002200,0.009000,0.068100,0.091000,0.078300,0.020000,0.010000,0.035061,0.497783,0.498522
2006-01-04,1273.460000,0.001600,0.990100,0.502300,0.303100,0.268400,0.063500,0.060500,0.105700,0.121800,0.030000,0.010000,0.034782,0.498075,0.499441
2006-01-05,1273.480000,0.939900,0.183700,0.660200,0.376400,0.242300,0.223600,0.054600,0.053100,0.094000,0.040000,0.010000,0.018536,0.494619,0.494979
2006-01-06,1285.450000,0.365600,0.468600,0.434500,0.728500,0.488700,0.358800,0.326200,0.165900,0.152200,0.050000,0.010000,-0.015262,0.503100,0.505503
2006-01-09,1290.150000,-0.035700,0.647200,0.433600,0.416800,0.654900,0.467700,0.359600,0.331100,0.188400,0.010000,0.010000,0.046957,0.485881,0.487624
2006-01-10,1289.689900,0.348200,0.164400,0.419400,0.315800,0.325800,0.539000,0.395000,0.309500,0.289700,0.020000,0.010000,0.030638,0.478597,0.478176
2006-01-11,1294.180100,-0.627400,0.156000,0.225300,0.401200,0.322100,0.329300,0.511300,0.388900,0.313700,0.030000,0.010000,-0.026253,0.477824,0.481034
2006-01-12,1286.060100,0.120500,-0.140700,-0.105700,0.011800,0.195200,0.163200,0.191900,0.368100,0.274900,0.040000,0.010000,0.023536,0.493169,0.495343
2006-01-13,1287.610000,-0.363500,-0.255300,-0.053800,-0.049200,0.033500,0.182700,0.157100,0.183000,0.340500,0.050000,0.010000,0.015799,0.497857,0.497654
2006-01-17,1282.930100,-0.389700,-0.121800,-0.291700,-0.131200,-0.112100,-0.032600,0.104800,0.092000,0.122200,0.020000,0.010000,0.042410,0.502508,0.503511
2006-01-18,1277.930100,0.556400,-0.378000,-0.211300,-0.316500,-0.182900,-0.158300,-0.083500,0.043200,0.038600,0.030000,0.010000,0.049634,0.502141,0.503738
2006-01-19,1285.040000,-1.832600,0.082300,-0.066800,-0.019900,-0.142400,-0.060300,-0.056800,-0.004000,0.099800,0.040000,0.010000,0.042297,0.511630,0.511565
2006-01-20,1261.490000,0.184700,-0.645600,-0.560600,-0.511400,-0.384200,-0.425600,-0.314200,-0.279200,-0.207400,0.050000,0.010000,0.057972,0.528304,0.530998
2006-01-23,1263.819900,0.240500,-0.840300,-0.370300,-0.375600,-0.373400,-0.290400,-0.339400,-0.252700,-0.228400,0.010000,0.010000,0.093566,0.521746,0.521334
2006-01-24,1266.860000,-0.172100,0.212200,-0.479400,-0.218000,-0.252900,-0.271700,-0.215100,-0.267500,-0.198400,0.020000,0.010000,0.095229,0.533372,0.533848
2006-01-25,1264.680100,0.723500,0.034000,0.084100,-0.402600,-0.208900,-0.239500,-0.257600,-0.209800,-0.257000,0.030000,0.010000,0.082623,0.505098,0.507608
2006-01-26,1273.830000,0.776400,0.274600,0.263000,0.243400,-0.177100,-0.053800,-0.102300,-0.135400,-0.106700,0.040000,0.010000,0.038611,0.512674,0.513079
2006-01-27,1283.720000,0.114500,0.744500,0.441100,0.391000,0.349900,-0.017300,0.065100,0.007800,-0.033900,0.050000,0.010000,0.003345,0.506085,0.510564
2006-01-30,1285.189900,-0.397600,0.442200,0.533700,0.358900,0.335300,0.310300,0.001700,0.071300,0.019700,0.010000,0.010000,0.082597,0.501454,0.500047
2006-01-31,1280.080000,0.185900,-0.141900,0.162400,0.300600,0.207000,0.212400,0.208500,-0.048700,0.018800,0.020000,0.010000,0.022221,0.503272,0.504248
2006-02-01,1282.460000,-0.906100,-0.106500,-0.032700,0.168200,0.277600,0.203400,0.208600,0.205600,-0.022500,0.030000,0.020000,0.036771,0.498063,0.501674
2006-02-02,1270.840000,-0.535900,-0.361900,-0.374300,-0.251600,-0.046700,0.080200,0.044500,0.068800,0.081500,0.040000,0.020000,0.059699,0.508750,0.509531
2006-02-03,1264.030000,0.078300,-0.727100,-0.420400,-0.415100,-0.308500,-0.127800,-0.007300,-0.027700,0.001800,0.050000,0.020000,0.030412,0.504580,0.506950
2006-02-06,1265.020000,-0.809500,-0.230100,-0.459000,-0.296300,-0.317000,-0.244500,-0.098600,0.003300,-0.016000,0.010000,0.020000,0.070457,0.510374,0.510850
2006-02-07,1254.780000,0.866300,-0.367100,-0.424400,-0.547600,-0.399200,-0.399200,-0.325100,-0.187000,-0.086400,0.020000,0.020000,0.085232,0.517907,0.517881
2006-02-08,1265.650000,-0.147700,0.025000,0.042800,-0.102800,-0.266000,-0.189800,-0.220000,-0.177700,-0.071400,0.030000,0.020000,0.061092,0.513942,0.513320
2006-02-09,1263.780000,0.254000,0.355800,-0.032800,-0.005000,-0.111800,-0.246300,-0.183800,-0.211000,-0.174400,0.040000,0.020000,0.051721,0.522278,0.524269
2006-02-10,1266.990000,-0.326000,0.052900,0.321600,0.039000,0.046900,-0.050800,-0.174800,-0.129200,-0.159500,0.050000,0.020000,0.046469,0.509470,0.511536
2006-02-13,1262.860000,1.003300,-0.036400,-0.073500,0.159700,-0.034200,-0.015400,-0.090200,-0.193800,-0.151100,0.010000,0.020000,0.074133,0.522400,0.521588
2006-02-14,1275.530000,0.350400,0.336400,0.308800,0.194900,0.327600,0.138500,0.129900,0.046400,-0.060800,0.020000,0.020000,0.043349,0.496353,0.499184
2006-02-15,1280.000000,0.732800,0.670700,0.340700,0.319000,0.226000,0.331200,0.168900,0.157600,0.080400,0.030000,0.020000,0.058150,0.497726,0.497793
2006-02-16,1289.380000,-0.166000,0.539000,0.689700,0.438400,0.401600,0.310700,0.388600,0.239800,0.221900,0.040000,0.020000,-0.024393,0.475174,0.478286
2006-02-17,1287.240000,-0.327100,0.281000,0.303600,0.475000,0.316700,0.306200,0.241900,0.318500,0.194100,0.050000,0.020000,0.004920,0.495332,0.497263
2006-02-21,1283.030000,0.751300,-0.247100,0.078500,0.145900,0.314400,0.208900,0.215200,0.170200,0.246200,0.020000,0.020000,0.019436,0.495275,0.495724
2006-02-22,1292.670000,-0.377500,0.210800,0.085200,0.245900,0.266500,0.386700,0.286300,0.282200,0.234900,0.030000,0.020000,0.040623,0.494766,0.494833
2006-02-23,1287.790000,0.127400,0.184500,0.014200,-0.030900,0.121000,0.158800,0.277100,0.202800,0.208300,0.040000,0.020000,0.014770,0.488570,0.491049
2006-02-24,1289.430100,0.363700,-0.125700,0.165400,0.042500,0.000800,0.122000,0.154300,0.258300,0.194300,0.050000,0.020000,0.005663,0.486403,0.488438
2006-02-27,1294.120000,-1.040100,0.245000,0.037500,0.214800,0.106700,0.061300,0.156500,0.180400,0.270000,0.010000,0.020000,0.027471,0.499156,0.498448
2006-02-28,1280.660000,0.826100,-0.340600,-0.184500,-0.233100,-0.036800,-0.085100,-0.096700,0.006400,0.044300,0.020000,0.020000,0.064673,0.507475,0.507693
2006-03-01,1291.240000,-0.162600,-0.112000,0.046800,0.066900,-0.022200,0.106100,0.044400,0.018000,0.096900,0.030000,0.030000,0.041919,0.504020,0.503175
2006-03-02,1289.140000,-0.148200,0.328600,-0.129000,-0.005600,0.020900,-0.045700,0.067700,0.018400,-0.002100,0.040000,0.030000,0.036900,0.508536,0.511011
2006-03-03,1287.230000,-0.696800,-0.155600,0.169900,-0.133800,-0.034100,-0.007200,-0.060300,0.040700,-0.000100,0.050000,0.030000,0.036481,0.496806,0.498658
2006-03-06,1278.260000,-0.186200,-0.424100,-0.336700,-0.046600,-0.246800,-0.144700,-0.105800,-0.139900,-0.041200,0.010000,0.030000,0.061503,0.519751,0.518316
2006-03-07,1275.880000,0.203000,-0.444400,-0.345200,-0.299400,-0.074400,-0.236800,-0.150600,-0.115800,-0.145100,0.020000,0.030000,0.064873,0.514606,0.516702
2006-03-08,1278.470000,-0.488100,0.008200,-0.228600,-0.208400,-0.199300,-0.028400,-0.174300,-0.106700,-0.080600,0.030000,0.030000,0.097090,0.518881,0.517631
2006-03-09,1272.230000,0.722400,-0.143100,-0.157600,-0.293800,-0.264500,-0.247500,-0.094000,-0.213500,-0.149000,0.040000,0.030000,0.038354,0.508942,0.511438
2006-03-10,1281.420000,0.211500,0.115500,0.144600,0.061900,-0.091000,-0.100600,-0.109600,0.007400,-0.110100,0.050000,0.030000,0.036166,0.506320,0.508728
2006-03-13,1284.130000,1.039600,0.463800,0.147500,0.161300,0.091800,-0.040400,-0.055900,-0.069400,0.030100,0.010000,0.030000,0.061171,0.511680,0.510682
2006-03-14,1297.480000,0.427000,0.622100,0.653600,0.370200,0.336800,0.249900,0.114300,0.081300,0.054100,0.020000,0.030000,0.042679,0.490890,0.491105
2006-03-15,1303.020000,0.177300,0.726400,0.556000,0.596000,0.381300,0.351700,0.275300,0.153700,0.120100,0.030000,0.030000,0.017496,0.494139,0.494801
2006-03-16,1305.330000,0.147100,0.301000,0.542800,0.460700,0.511500,0.346900,0.326400,0.262900,0.156400,0.040000,0.030000,-0.006311,0.483937,0.486970
2006-03-17,1307.250000,-0.166000,0.161900,0.249500,0.443500,0.397600,0.450200,0.318000,0.303700,0.249800,0.050000,0.030000,0.010487,0.495438,0.496251
2006-03-20,1305.080000,-0.601500,-0.009600,0.052600,0.145600,0.321400,0.303200,0.361600,0.257000,0.251000,0.010000,0.030000,0.025647,0.485983,0.486757
2006-03-21,1297.230000,0.602100,-0.385000,-0.207200,-0.111000,-0.003800,0.167600,0.173700,0.240800,0.161000,0.020000,0.030000,0.048699,0.492068,0.492442
2006-03-22,1305.040000,-0.258200,-0.001500,-0.056600,-0.005600,0.031000,0.096600,0.229300,0.227000,0.280800,0.030000,0.030000,0.013138,0.490261,0.491018
2006-03-23,1301.670000,0.098300,0.170300,-0.087300,-0.107100,-0.056200,-0.017300,0.045900,0.168300,0.173000,0.040000,0.030000,0.037143,0.499152,0.500074
2006-03-24,1302.950000,-0.102800,-0.080200,0.146300,-0.040900,-0.066000,-0.030400,-0.000800,0.052500,0.160500,0.050000,0.030000,0.012571,0.498108,0.498768
2006-03-27,1301.610000,-0.643800,-0.002300,-0.087800,0.084000,-0.053300,-0.072200,-0.040800,-0.013500,0.035200,0.010000,0.030000,0.054703,0.511218,0.510390
2006-03-28,1293.230000,0.747000,-0.374600,-0.216500,-0.227100,-0.061500,-0.151900,-0.154000,-0.116200,-0.083500,0.020000,0.030000,0.068443,0.514038,0.514591
2006-03-29,1302.890000,-0.202600,0.049300,-0.001500,0.023500,-0.033100,0.072500,-0.024100,-0.041900,-0.020800,0.030000,0.030000,0.063475,0.509997,0.509591
2006-03-30,1300.250000,-0.413800,0.269700,-0.034900,-0.051900,-0.021800,-0.061400,0.033200,-0.046400,-0.059800,0.040000,0.030000,0.038683,0.506159,0.508711
2006-03-31,1294.870000,0.227100,-0.309000,0.042100,-0.129800,-0.124400,-0.087200,-0.111800,-0.022700,-0.087300,0.050000,0.030000,0.037526,0.503716,0.505869
2006-04-03,1297.810100,0.625700,-0.094100,-0.130500,0.088100,-0.058600,-0.066000,-0.042400,-0.069600,0.005000,0.010000,0.040000,0.054907,0.514275,0.513090
2006-04-04,1305.930100,0.431100,0.424800,0.145700,0.058500,0.195300,0.055400,0.032800,0.041000,0.007600,0.020000,0.040000,0.059973,0.501980,0.502839
2006-04-05,1311.560100,-0.192100,0.525300,0.426300,0.217100,0.133200,0.234600,0.109300,0.082700,0.084400,0.030000,0.040000,0.047466,0.493370,0.492803
2006-04-06,1309.040000,-1.034300,0.118700,0.286000,0.271200,0.134800,0.078700,0.173300,0.071300,0.052000,0.040000,0.040000,-0.003814,0.494131,0.496473
2006-04-07,1295.500000,0.086500,-0.616600,-0.266300,-0.044200,0.009700,-0.060800,-0.081100,0.021800,-0.052200,0.050000,0.040000,0.034304,0.515835,0.517854
2006-04-10,1296.620000,-0.775100,-0.479100,-0.383000,-0.178600,-0.018300,0.022400,-0.039800,-0.060200,0.028900,0.010000,0.040000,0.079594,0.515823,0.514200
2006-04-11,1286.569900,0.120500,-0.345700,-0.579300,-0.481700,-0.297900,-0.144000,-0.091200,-0.131600,-0.139500,0.020000,0.040000,0.091905,0.514622,0.515141
2006-04-12,1288.120000,0.077600,-0.330100,-0.190600,-0.404900,-0.362000,-0.228700,-0.106600,-0.065000,-0.103800,0.030000,0.040000,0.052539,0.498661,0.500350
2006-04-13,1289.120000,-0.294000,0.098900,-0.194100,-0.123600,-0.308600,-0.289000,-0.185200,-0.083700,-0.049200,0.040000,0.040000,0.045883,0.516200,0.516830
2006-04-17,1285.330000,1.707700,-0.108400,-0.032100,-0.219300,-0.157800,-0.306300,-0.289800,-0.198800,-0.107000,0.010000,0.040000,0.074339,0.514021,0.513387
2006-04-18,1307.280000,0.202700,0.700500,0.493600,0.400600,0.165100,0.151900,-0.019500,-0.041300,0.011600,0.020000,0.040000,0.059211,0.506873,0.505052
2006-04-19,1309.930100,0.116800,0.939900,0.533200,0.420100,0.360500,0.171400,0.159200,0.008600,-0.014000,0.030000,0.040000,0.029620,0.498647,0.500437
2006-04-20,1311.460000,-0.013700,0.159500,0.665100,0.428500,0.358900,0.319500,0.163500,0.153800,0.020700,0.040000,0.040000,0.015354,0.486597,0.488306
2006-04-21,1311.280000,-0.241800,0.051500,0.101700,0.495200,0.339600,0.296400,0.271500,0.141100,0.135000,0.050000,0.040000,-0.002414,0.507302,0.508709
2006-04-24,1308.110000,-0.487000,-0.127900,-0.046300,0.015800,0.347900,0.242400,0.219100,0.206900,0.098200,0.010000,0.040000,0.055176,0.492938,0.494231
2006-04-25,1301.740000,0.281900,-0.365500,-0.247900,-0.156500,-0.084700,0.209100,0.138100,0.130700,0.129500,0.020000,0.040000,0.065782,0.497704,0.496420
2006-04-26,1305.410000,0.330200,-0.103600,-0.149900,-0.115800,-0.069100,-0.023800,0.219300,0.156000,0.147400,0.030000,0.040000,0.007952,0.488985,0.491382
2006-04-27,1309.720000,0.068000,0.305100,0.041100,-0.029900,-0.026600,-0.002700,0.026600,0.233100,0.175300,0.040000,0.040000,0.038231,0.495592,0.496340
2006-04-28,1310.610000,-0.413600,0.198400,0.225900,0.047800,-0.010300,-0.010800,0.007400,0.031800,0.214700,0.050000,0.040000,0.010968,0.500496,0.500152
2006-05-01,1305.189900,0.614500,-0.173200,-0.005600,0.066000,-0.044700,-0.077700,-0.068500,-0.045300,-0.017800,0.010000,0.050000,0.051824,0.507889,0.506993
2006-05-02,1313.210000,-0.387600,0.099300,0.088800,0.148900,0.175300,0.065000,0.021100,0.016700,0.027900,0.020000,0.050000,0.049489,0.506667,0.506466
2006-05-03,1308.120000,0.315700,0.111800,-0.063400,-0.030600,0.041400,0.081300,0.000100,-0.030200,-0.028400,0.030000,0.050000,0.067432,0.509536,0.509366
2006-05-04,1312.250000,1.029500,-0.036600,0.179500,0.031300,0.038600,0.087000,0.114700,0.039600,0.008200,0.040000,0.050000,0.021357,0.492912,0.494632
2006-05-05,1325.760000,-0.083000,0.668700,0.318000,0.391100,0.230800,0.203700,0.221600,0.229000,0.149700,0.050000,0.050000,0.007466,0.494810,0.496512
2006-05-08,1324.660000,0.036200,0.468200,0.417400,0.217200,0.295700,0.178100,0.162400,0.183200,0.194000,0.010000,0.050000,0.036875,0.486332,0.485894
2006-05-09,1325.140000,-0.172800,-0.023400,0.324200,0.321900,0.180900,0.252200,0.157700,0.146500,0.166700,0.020000,0.050000,0.027219,0.492838,0.491465
2006-05-10,1322.850000,-1.279800,-0.068400,-0.073300,0.200100,0.222800,0.121700,0.191300,0.116200,0.110800,0.030000,0.050000,0.017859,0.503738,0.504958
2006-05-11,1305.920000,-1.124100,-0.731100,-0.474000,-0.375900,-0.095800,-0.027800,-0.079000,0.006900,-0.039600,0.040000,0.050000,0.067567,0.511897,0.512762
2006-05-12,1291.240000,0.252500,-1.217100,-0.864800,-0.637200,-0.525400,-0.266100,-0.183300,-0.208900,-0.117900,0.050000,0.050000,0.057619,0.523466,0.524027
2006-05-15,1294.500000,-0.186900,-0.441700,-0.728500,-0.587600,-0.461200,-0.397500,-0.193100,-0.129700,-0.158400,0.010000,0.050000,0.086957,0.515457,0.516297
2006-05-16,1292.080000,-1.684100,0.032500,-0.356900,-0.593600,-0.508100,-0.416000,-0.367800,-0.192400,-0.136000,0.020000,0.050000,0.103816,0.515115,0.514159
2006-05-17,1270.319900,-0.669900,-0.943600,-0.542400,-0.691500,-0.813900,-0.704900,-0.597000,-0.531700,-0.356800,0.030000,0.050000,0.079849,0.532020,0.531340
2006-05-18,1261.810100,0.413700,-1.195400,-0.854800,-0.574900,-0.688100,-0.791100,-0.700700,-0.606400,-0.547100,0.040000,0.050000,0.086123,0.555214,0.556354
2006-05-19,1267.030000,-0.391500,-0.130100,-0.659400,-0.539600,-0.379100,-0.506600,-0.621400,-0.563900,-0.495500,0.050000,0.050000,0.130047,0.557017,0.557466
2006-05-22,1262.069900,-0.435000,0.010300,-0.217600,-0.592900,-0.510400,-0.381400,-0.490500,-0.593300,-0.545200,0.010000,0.050000,0.145791,0.527727,0.526856
2006-05-23,1256.580000,0.158400,-0.414900,-0.138200,-0.272200,-0.561900,-0.498300,-0.389200,-0.483900,-0.576200,0.020000,0.050000,0.073303,0.520521,0.522681
2006-05-24,1258.569900,1.137000,-0.139200,-0.224000,-0.064200,-0.186300,-0.442300,-0.405100,-0.321500,-0.413400,0.030000,0.050000,0.072815,0.534194,0.536265
2006-05-25,1272.880000,0.571900,0.643900,0.285400,0.115800,0.175200,0.033800,-0.217000,-0.213200,-0.160500,0.040000,0.050000,0.087803,0.522661,0.521906
2006-05-26,1280.160000,-1.585000,0.845700,0.618600,0.356900,0.207400,0.241500,0.111100,-0.117700,-0.125600,0.050000,0.050000,0.034944,0.500023,0.501359
2006-05-30,1259.870000,0.811200,-0.512200,0.034100,0.064900,-0.034800,-0.094300,-0.021900,-0.103300,-0.282800,0.020000,0.050000,0.034596,0.502510,0.505525
2006-05-31,1270.090000,1.229800,-0.398000,-0.073200,0.226600,0.213000,0.105600,0.034500,0.081800,-0.002000,0.030000,0.050000,0.037026,0.511435,0.512127
2006-06-01,1285.710000,0.195200,1.011000,0.145500,0.251800,0.426100,0.381900,0.266100,0.184100,0.209400,0.040000,0.060000,0.055261,0.502802,0.502442
2006-06-02,1288.220000,-1.780000,0.704400,0.737500,0.157900,0.240300,0.387200,0.354900,0.257100,0.185300,0.050000,0.060000,0.004756,0.464699,0.466639
2006-06-05,1265.290000,-0.113800,-0.799700,-0.125000,0.106100,-0.233500,-0.099200,0.075300,0.085600,0.028200,0.010000,0.060000,0.007133,0.494849,0.494944
2006-06-06,1263.850000,-0.609200,-0.963600,-0.572600,-0.122300,0.062400,-0.213700,-0.101300,0.051800,0.063500,0.020000,0.060000,0.034991,0.519933,0.520504
2006-06-07,1256.150000,0.141700,-0.362700,-0.847200,-0.582600,-0.219200,-0.048800,-0.270100,-0.164500,-0.021100,0.030000,0.060000,0.139710,0.537209,0.533618
2006-06-08,1257.930100,-0.447600,-0.235500,-0.194800,-0.600600,-0.438800,-0.159600,-0.021800,-0.219100,-0.130800,0.040000,0.060000,0.051753,0.494747,0.496151
2006-06-09,1252.300000,-1.186600,-0.153400,-0.306700,-0.258200,-0.570600,-0.440500,-0.200600,-0.074700,-0.244400,0.050000,0.060000,0.032171,0.508792,0.512057
2006-06-12,1237.439900,-1.111200,-0.823000,-0.499200,-0.527800,-0.444300,-0.674100,-0.547200,-0.323000,-0.197200,0.010000,0.060000,0.077617,0.528886,0.528056
2006-06-13,1223.689900,0.518900,-1.162500,-0.922100,-0.652900,-0.644900,-0.555300,-0.736900,-0.617400,-0.409500,0.020000,0.060000,0.144362,0.560810,0.556783
2006-06-14,1230.040000,2.123500,-0.301600,-0.603100,-0.564200,-0.421000,-0.453400,-0.404200,-0.582600,-0.493800,0.030000,0.060000,0.107045,0.539737,0.540747
2006-06-15,1256.160000,-0.367800,1.306000,0.504600,0.078000,-0.028600,0.000100,-0.088300,-0.091500,-0.285200,0.040000,0.060000,0.082429,0.499355,0.501378
2006-06-16,1251.540000,-0.911700,0.857400,0.745100,0.284200,-0.012300,-0.085800,-0.052900,-0.123500,-0.122400,0.050000,0.060000,0.010023,0.494384,0.496259
2006-06-19,1240.130000,-0.000800,-0.643300,0.269200,0.330300,0.043400,-0.163600,-0.204800,-0.161000,-0.211700,0.010000,0.060000,0.029484,0.512077,0.512048
2006-06-20,1240.120000,0.974100,-0.460400,-0.429800,0.202100,0.264200,0.036000,-0.140300,-0.179300,-0.143300,0.020000,0.060000,0.081345,0.542023,0.540681
2006-06-21,1252.200000,-0.527100,0.484300,0.017700,-0.079500,0.355100,0.381700,0.169800,-0.001000,-0.051200,0.030000,0.060000,0.095891,0.503465,0.503800
2006-06-22,1245.600000,-0.088300,0.219400,0.146300,-0.119300,-0.169500,0.207900,0.251400,0.082100,-0.059900,0.040000,0.060000,0.038715,0.479716,0.481746
2006-06-23,1244.500000,0.486900,-0.309200,0.117000,0.087700,-0.113100,-0.156000,0.165600,0.208900,0.063100,0.050000,0.060000,-0.041741,0.482031,0.486623
2006-06-26,1250.560100,-0.908400,0.198800,-0.043800,0.209100,0.167300,-0.013100,-0.064200,0.205600,0.239700,0.010000,0.060000,0.057415,0.511060,0.508442
2006-06-27,1239.200000,0.548700,-0.212900,-0.171400,-0.261100,-0.014800,-0.012400,-0.141600,-0.170200,0.081600,0.020000,0.060000,0.081475,0.516339,0.513121
2006-06-28,1246.000000,2.156500,-0.183500,0.040200,0.008000,-0.099600,0.078600,0.067300,-0.055600,-0.090600,0.030000,0.060000,0.042298,0.499401,0.499814
2006-06-29,1272.870000,-0.209800,1.336700,0.593700,0.566400,0.436100,0.275600,0.374200,0.327700,0.189900,0.040000,0.060000,-0.002376,0.482490,0.485193
